_source_row,Término,Variantes,Región/País,Definición,Categoría temática,Subdominio,Ofensividad*,Ingroup/Outgroup,Fuente,Tipo de evidencia,Cita o ejemplo real,Par contrastivo (estándar),Nota de auditoría
5,Buses,,Perú,"Gay 'moderno', discreto, masculino, activo; en contraposición al gay afeminado/travesti. Origen en el apellido de un joven homofóbico de Lima en los 80.",Estigma,Estereotipación,0.5,Ingroup (autodesignación de un sector),LGBTQIA+ Wiki (Fandom) + moscasdecolores.com,Divulgativa,,,Caso de estudio de homofobia interiorizada dentro del propio colectivo.
6,Mostacero,,Perú,Hombre heterosexual de aspecto rudo/varonil que tiene sexo con su 'aprendiz'.,Género,Rol sexual,0.5,Outgroup,LGBTQIA+ Wiki (Fandom),Divulgativa,,,
7,Cucarrón,,Colombia,Equivalente de mayate; literalmente 'escarabajo'.,Género,Rol sexual,0.5,Outgroup,LGBTQIA+ Wiki (Fandom),Divulgativa,,,
8,Cabro / Cabrito,,"Perú, Bolivia, Rep. Dominicana, Puerto Rico, Chile","Hombre homosexual; primera referencia en 1910 (argot delictivo chileno, la Coa).",Estigma,Insulto directo,1.0,Outgroup,moscasdecolores.com,Divulgativa,,,
9,K'ewsa,"K'iwsa, Q'iwsa",Bolivia,"Origen quechua/aymara; significado peyorativo de 'afeminado' u 'homosexual', también 'cobarde'. 1a referencia documentada en 1612.",Estigma,Colonialidad,1.0,Outgroup,LGBTQIA+ Wiki (Fandom) + moscasdecolores.com,Divulgativa,,,Central para el debate sobre si la disidencia sexual es 'importada' o preexistente en sociedades precolombinas.
10,Rosquete,,Perú,De 'rosquilla'; alude al ano.,Estigma,Insulto directo,1.0,Outgroup,moscasdecolores.com,Divulgativa,,,
11,Caraoquero,,Bolivia,Probablemente relacionado con el karaoke (origen incierto segun la propia fuente).,Comunidad,Argot / Código,0.5,,moscasdecolores.com,Divulgativa,,,
12,Plumera / Plumero / Plumoso,,"Puerto Rico, Venezuela, Colombia",'Que tiene pluma'; hombre afeminado.,Estigma,Estereotipo de género,0.5,Outgroup,moscasdecolores.com,Divulgativa,,,
13,Maricona dramática,,"Colombia, Miami, Honduras, México, Puerto Rico",Variante regional intensificada de 'maricón'.,Estigma,Insulto directo,1.0,Outgroup,moscasdecolores.com,Divulgativa,,,
14,Chonga,,Argentina (?),Variante femenina asociada al mismo campo semántico que chongo.,Género,Rol sexual,0.5,,moscasdecolores.com,Divulgativa,,,
